# Ibarra, Reichard, Tomar (2024) arXiv:2408.15760, JCAP 2025
# LZ direct detection constraint (90% CL), nuclear recoils + Migdal effect
# Operator: Dirac/Majorana charge radius (dim-6)
# y-axis convention: Lambda / C_cr^(1/2)  [GeV]
# Note: charge radius is SI-coherent -> strongest DD constraint among dim-6 operators
# Values read from Fig.3 bottom-left panel
# mchi_GeV  lambda_plot_GeV
5.0e0   5.0e3
1.0e1   1.2e4
3.0e1   4.0e4
1.0e2   1.2e5
3.0e2   2.5e5
1.0e3   3.0e5
3.0e3   2.0e5
1.0e4   1.2e5
