# Arina et al. 2020 (arXiv:2005.12789) - Fig. 13 (bottom left)
# Fermi-LAT gamma-ray line search constraint (95% CL) - Galactic Centre, Einasto profile
# Operator: Dirac electric dipole (dim-5), hypercharge form factor
# Note: electric dipole is p-wave for fermion final states; only diphoton channel
# y-axis convention: Lambda / C_el  [GeV]  (dim-5 operator)
# mchi_GeV  lambda_plot_GeV
1.0e1   2.0e2
3.0e1   4.0e2
1.0e2   8.0e2
3.0e2   1.5e3
1.0e3   2.5e3
3.0e3   3.0e3
1.0e4   2.0e3
1.0e5   8.0e2
